FileName,ArgumentsPerOperation,AveragePathLength,BiggestRootCoverage,DataWeight,DistinctMessageRatio,LackOfMessageLevelCohesion,LongestPath,NumberOfRootPaths,ServiceInterfaceDataCohesion,WeightedServiceInterfaceCount,ApiFormat
1forge.com-0.0.1-swagger.yaml.json,0,1,0.5,0,0.5,1,1,2,0,2,openapi
6-dot-authentiqio.appspot.com-6-swagger.yaml.json,1.5,1.4,0.5,200,0.2239,0.5128,2,3,0.6209,14,openapi
ably.io-1.1.0-openapi.yaml.json,4.2273,2.3571,0.5909,365,0.4091,0.6356,4,5,0.9545,22,openapi
adafruit.com-2.0.0-swagger.yaml.json,2.8028,3.75,0.9577,793,0.1368,0.8062,7,3,0.5082,71,openapi
adobe.com-aem-2.5.0-pre-swagger.yaml.json,6.3182,3.5641,0.2045,290,0.4157,0.9849,7,8,0.204,44,openapi
adyen.com-AccountService-3-openapi.yaml.json,1,1,0.0714,66,0.2245,0.6627,1,14,0.044,14,openapi
adyen.com-AccountService-4-openapi.yaml.json,1,1,0.0714,82,0.2245,0.6817,1,14,0.044,14,openapi
adyen.com-AccountService-5-openapi.yaml.json,1,1,0.0625,95,0.2143,0.6396,1,16,0.0542,16,openapi
adyen.com-CheckoutService-30-openapi.yaml.json,1,1,0.5,51,0.2857,1,1,2,0,2,openapi
adyen.com-CheckoutService-31-openapi.yaml.json,1,1,0.5,51,0.2857,1,1,2,0,2,openapi
adyen.com-CheckoutService-32-openapi.yaml.json,1,1,0.5,52,0.2857,1,1,2,0,2,openapi
adyen.com-CheckoutService-37-openapi.yaml.json,1,1.4,0.6,88,0.2571,0.8481,2,3,0.05,5,openapi
adyen.com-CheckoutService-40-openapi.yaml.json,1,1.4,0.6,84,0.2571,0.8505,2,3,0.05,5,openapi
adyen.com-CheckoutService-41-openapi.yaml.json,1,1.4,0.6,87,0.2571,0.8531,2,3,0.05,5,openapi
adyen.com-CheckoutService-46-openapi.yaml.json,1,1.4,0.6,86,0.2571,0.8538,2,3,0.05,5,openapi
adyen.com-CheckoutUtilityService-1-openapi.yaml.json,1,1,1,0,0.2857,0,1,1,0,1,openapi
adyen.com-FundService-3-openapi.yaml.json,1,1,0.1667,36,0.2619,0.6175,1,6,0.0333,6,openapi
adyen.com-FundService-5-openapi.yaml.json,1,1,0.1667,32,0.2619,0.5912,1,6,0.0333,6,openapi
adyen.com-MarketPayNotificationService-3-openapi.yaml.json,1,1,0.0714,70,0.0714,0,1,14,1,14,openapi
adyen.com-MarketPayNotificationService-4-openapi.yaml.json,1,1,0.0714,84,0.0714,0,1,14,1,14,openapi
adyen.com-MarketPayNotificationService-5-openapi.yaml.json,1,1,0.0714,84,0.0714,0,1,14,1,14,openapi
adyen.com-NotificationConfigurationService-1-openapi.yaml.json,1,1,0.1667,15,0.75,0.6683,1,6,0.1333,6,openapi
adyen.com-PaymentService-25-openapi.yaml.json,1,1,0.1667,94,0.125,0.4753,1,6,0.4333,6,openapi
adyen.com-PaymentService-30-openapi.yaml.json,1,1,0.125,116,0.0926,0.381,1,8,0.5536,8,openapi
adyen.com-PaymentService-40-openapi.yaml.json,1,1,0.0909,162,0.1081,0.5124,1,11,0.4091,11,openapi
adyen.com-PaymentService-46-openapi.yaml.json,1,1,0.0909,162,0.1081,0.512,1,11,0.4091,11,openapi
adyen.com-PayoutService-30-openapi.yaml.json,1,1,0.1667,82,0.2143,0.601,1,6,0.1,6,openapi
adyen.com-RecurringService-18-openapi.yaml.json,1,1,0.5,10,0.2857,0.7,1,2,0,2,openapi
adyen.com-RecurringService-25-openapi.yaml.json,1,1,0.5,10,0.2857,0.8,1,2,0,2,openapi
afterbanks.com-3.0.0-swagger.yaml.json,3.3333,1,0.3333,44,0.7778,0.93,1,3,0.6667,3,openapi
agco-ats.com-v1-swagger.yaml.json,1.9843,3.8899,1,1855,0.3439,0.7774,6,1,0.4101,191,openapi
aiception.com-1.0.0-swagger.yaml.json,1,1.5,0.2,46,0.1333,0.2926,2,5,0.6778,10,openapi
airport-web.appspot.com-v1-swagger.yaml.json,1,4,1,5,1,0,4,1,0,1,openapi
akeneo.com-1.0.0-swagger.yaml.json,2.068,5.2632,1,1484,0.1301,0.7297,9,1,0.624,103,openapi
amazonaws.com-acm-2015-12-08-swagger.yaml.json,9.1538,1,0.0769,164,0.2419,0.6236,1,13,1,13,openapi
amazonaws.com-acm-pca-2017-08-22-swagger.yaml.json,9.3,1,0.05,245,0.1955,0.6601,1,20,1,20,openapi
amazonaws.com-alexaforbusiness-2017-11-09-swagger.yaml.json,9.3871,1,0.0108,1137,0.3212,0.6891,1,93,0.851,93,openapi
amazonaws.com-amplify-2017-07-25-swagger.yaml.json,9.303,3.7222,0.7879,656,0.1972,0.6555,7,4,1,33,openapi
amazonaws.com-apigateway-2015-07-09-swagger.yaml.json,9.7417,3.3962,0.625,1734,0.1592,0.6844,9,11,1,120,openapi
amazonaws.com-apigatewaymanagementapi-2018-11-29-swagger.yaml.json,8.3333,2,1,29,0.25,0.537,2,1,1,3,openapi
amazonaws.com-apigatewayv2-2018-11-29-swagger.yaml.json,9.3559,4.44,1,878,0.1873,0.6832,7,1,1,59,openapi
amazonaws.com-application-autoscaling-2016-02-06-swagger.yaml.json,9.8,1,0.1,157,0.25,0.6757,1,10,1,10,openapi
amazonaws.com-application-insights-2018-11-25-swagger.yaml.json,9.3529,1,0.0588,233,0.2727,0.6236,1,17,1,17,openapi
amazonaws.com-appmesh-2018-10-01-swagger.yaml.json,9.4211,3.5,1,270,0.1353,0.4726,6,1,1,19,openapi
amazonaws.com-appmesh-2019-01-25-swagger.yaml.json,9.3929,3.9231,1,392,0.1331,0.5821,7,1,1,28,openapi
amazonaws.com-appstream-2016-12-01-swagger.yaml.json,9.0851,1,0.0213,701,0.2363,0.6786,1,47,0.9385,47,openapi
amazonaws.com-appsync-2017-07-25-swagger.yaml.json,9.4167,4.3684,1,550,0.1901,0.6835,7,1,1,36,openapi
amazonaws.com-athena-2017-05-18-swagger.yaml.json,9.4211,1,0.0526,240,0.3625,0.6905,1,19,1,19,openapi
amazonaws.com-autoscaling-2011-01-01-swagger.yaml.json,11.3148,1,0.0185,1388,0.2525,0.6571,1,54,1,108,openapi
amazonaws.com-autoscaling-plans-2018-01-06-swagger.yaml.json,9,1,0.1667,75,0.3235,0.6802,1,6,1,6,openapi
